1. wistores_dominos
===================

+---------------------------------------------------+------------+
| table_name                                        | table_rows |
+---------------------------------------------------+------------+
| ABAAA_address_book                                |          0 |
| ABAAA_adgroups                                    |          0 |
| ABAAA_adgroups_to_api                             |          2 |
| ABAAA_adgroups_to_categories                      |          2 |
| ABAAA_adgroups_to_products                        |          2 |
| ABAAA_administrators                              |         13 |
| ABAAA_administrators_access                       |         54 |
| ABAAA_administrators_log                          |     599841 |
| ABAAA_ads                                         |          2 |
| ABAAA_ads_to_adgroups                             |          2 |
| ABAAA_amazon_request                              |     292142 |
| ABAAA_banner                                      |          4 |
| ABAAA_banners                                     |          0 |
| ABAAA_banners_history                             |          0 |
| ABAAA_categories                                  |         52 |
| ABAAA_categories_description                      |         51 |
| ABAAA_categories_dipl_products_options            |          0 |
| ABAAA_categories_dipl_visualizations_type         |          0 |
| ABAAA_configuration                               |        158 |
| ABAAA_configuration_group                         |         15 |
| ABAAA_counter                                     |          0 |
| ABAAA_countries                                   |        239 |
| ABAAA_coupon_description                          |        283 |
| ABAAA_coupon_log                                  |     802769 |
| ABAAA_coupon_master                               |        271 |
| ABAAA_coupon_vouchers                             |        138 |
| ABAAA_credit_cards                                |         13 |
| ABAAA_currencies                                  |          4 |
| ABAAA_customers_basket                            |          0 |
| ABAAA_customers_basket_20181209                   |          0 |
| ABAAA_customers_basket_20190626                   |      64253 |
| ABAAA_customers_to_stores_to_addresses            |          0 |
| ABAAA_day_wise_banner                             |         10 |
| ABAAA_deal_product_criteria                       |         14 |
| ABAAA_deal_product_mapping                        |      24570 |
| ABAAA_favourite_customized_product                |     778205 |
| ABAAA_geo_zones                                   |        591 |
| ABAAA_homepage_banner                             |        431 |
| ABAAA_image_ads                                   |          0 |
| ABAAA_languages                                   |          0 |
| ABAAA_languages_definitions                       |        616 |
| ABAAA_lmid                                        |       1428 |
| ABAAA_lmid_2NOV19                                 |       1323 |
| ABAAA_lmid_BKP_28092019                           |       1265 |
| ABAAA_loadtest_tracking                           |          0 |
| ABAAA_loyalty_customer                            |     321121 |
| ABAAA_manufacturers                               |          0 |
| ABAAA_manufacturers_info                          |          0 |
| ABAAA_multiple_customers                          |          0 |
| ABAAA_newsletters                                 |          0 |
| ABAAA_newsletters_log                             |          0 |
| ABAAA_orders                                      |          0 |
| ABAAA_orders_products                             |          0 |
| ABAAA_orders_products_attributes                  |          0 |
| ABAAA_orders_products_download                    |          0 |
| ABAAA_orders_status_history                       |          0 |
| ABAAA_orders_total                                |          0 |
| ABAAA_orders_transactions_history                 |          0 |
| ABAAA_orders_transactions_status                  |          0 |
| ABAAA_pages                                       |        230 |
| ABAAA_paytm_response                              |    1240398 |
| ABAAA_pixel                                       |        111 |
| ABAAA_products                                    |        404 |
| ABAAA_products_attributes                         |    4297660 |
| ABAAA_products_attributes_BACKUP_15JUL            |    1454499 |
| ABAAA_products_attributes_download                |          0 |
| ABAAA_products_attributes_org                     |          0 |
| ABAAA_products_description                        |        400 |
| ABAAA_products_description_BKP_11OCT19            |        262 |
| ABAAA_products_description_backup_newapp          |        216 |
| ABAAA_products_images                             |        694 |
| ABAAA_products_images_BKP_11OCT19                 |        428 |
| ABAAA_products_images_groups                      |          5 |
| ABAAA_products_logs                               |      23589 |
| ABAAA_products_notifications                      |          0 |
| ABAAA_products_options                            |          4 |
| ABAAA_products_options_description                |          4 |
| ABAAA_products_options_values                     |        345 |
| ABAAA_products_options_values_description         |        344 |
| ABAAA_products_options_values_to_products_options |        102 |
| ABAAA_products_swfs                               |          4 |
